model,corpus,topic_id,year,documents_in_year,cluster_documents,cluster_share,mean_assignment_probability,outlier_share,lower_95,upper_95,uncertainty_method,year_complete
BERTopic-METADATA-MULTILINGUAL,metadata,22,2021,321,3,0.009346,0.863676,0.570093,0.0,0.021807,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,23,2021,321,0,0.0,0,0.570093,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,24,2021,321,1,0.003115,1.0,0.570093,0.0,0.009346,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,25,2021,321,1,0.003115,0.43601,0.570093,0.0,0.012461,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,26,2021,321,1,0.003115,0.232558,0.570093,0.0,0.009346,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,27,2021,321,2,0.006231,1.0,0.570093,0.0,0.015576,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,28,2021,321,4,0.012461,0.813533,0.570093,0.003115,0.024922,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,29,2021,321,1,0.003115,1.0,0.570093,0.0,0.009346,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,3,2021,321,0,0.0,0,0.570093,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,30,2021,321,0,0.0,0,0.570093,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,31,2021,321,0,0.0,0,0.570093,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,32,2021,321,1,0.003115,1.0,0.570093,0.0,0.009346,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,33,2021,321,2,0.006231,0.162946,0.570093,0.0,0.015576,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,34,2021,321,0,0.0,0,0.570093,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,35,2021,321,0,0.0,0,0.570093,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,36,2021,321,1,0.003115,1.0,0.570093,0.0,0.009346,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,37,2021,321,0,0.0,0,0.570093,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,38,2021,321,0,0.0,0,0.570093,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,39,2021,321,1,0.003115,1.0,0.570093,0.0,0.009346,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,4,2021,321,9,0.028037,0.480196,0.570093,0.009346,0.046729,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,40,2021,321,1,0.003115,1.0,0.570093,0.0,0.009346,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,41,2021,321,1,0.003115,1.0,0.570093,0.0,0.009346,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,5,2021,321,10,0.031153,0.280787,0.570093,0.012461,0.049844,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,6,2021,321,17,0.05296,0.492031,0.570093,0.028037,0.074766,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,7,2021,321,4,0.012461,0.3785,0.570093,0.003115,0.024922,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,8,2021,321,4,0.012461,0.219164,0.570093,0.003115,0.024922,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,9,2021,321,9,0.028037,0.411732,0.570093,0.012461,0.046729,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,0,2022,292,7,0.023973,0.308355,0.547945,0.010274,0.041096,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,1,2022,292,4,0.013699,0.441369,0.547945,0.003425,0.027397,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,10,2022,292,3,0.010274,0.765839,0.547945,0.0,0.020548,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,11,2022,292,7,0.023973,0.481192,0.547945,0.006849,0.041096,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,12,2022,292,5,0.017123,0.444332,0.547945,0.003425,0.034247,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,13,2022,292,4,0.013699,0.517525,0.547945,0.003425,0.027397,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,14,2022,292,1,0.003425,1.0,0.547945,0.0,0.013699,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,15,2022,292,4,0.013699,0.593087,0.547945,0.003425,0.027397,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,16,2022,292,1,0.003425,1.0,0.547945,0.0,0.010274,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,17,2022,292,2,0.006849,1.0,0.547945,0.0,0.017123,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,18,2022,292,4,0.013699,0.685744,0.547945,0.0,0.027397,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,19,2022,292,2,0.006849,0.628053,0.547945,0.0,0.017123,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,2,2022,292,12,0.041096,0.209634,0.547945,0.020548,0.061644,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,20,2022,292,1,0.003425,0.110309,0.547945,0.0,0.010274,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,21,2022,292,1,0.003425,1.0,0.547945,0.0,0.010274,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,22,2022,292,2,0.006849,0.594878,0.547945,0.0,0.020548,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,23,2022,292,0,0.0,0,0.547945,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,24,2022,292,6,0.020548,0.729486,0.547945,0.006849,0.034247,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,25,2022,292,3,0.010274,1.0,0.547945,0.0,0.023973,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,26,2022,292,2,0.006849,0.739395,0.547945,0.0,0.017123,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,27,2022,292,3,0.010274,0.712077,0.547945,0.0,0.020548,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,28,2022,292,1,0.003425,0.246777,0.547945,0.0,0.010274,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,29,2022,292,1,0.003425,0.670682,0.547945,0.0,0.013699,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,3,2022,292,2,0.006849,0.651575,0.547945,0.0,0.017123,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,30,2022,292,2,0.006849,1.0,0.547945,0.0,0.017123,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,31,2022,292,2,0.006849,0.821035,0.547945,0.0,0.017123,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,32,2022,292,0,0.0,0,0.547945,0.0,0.0,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,33,2022,292,1,0.003425,1.0,0.547945,0.0,0.010274,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,34,2022,292,1,0.003425,0.34105,0.547945,0.0,0.010274,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,35,2022,292,3,0.010274,0.715391,0.547945,0.0,0.020548,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,36,2022,292,1,0.003425,0.303097,0.547945,0.0,0.013699,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,37,2022,292,1,0.003425,1.0,0.547945,0.0,0.010274,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,38,2022,292,1,0.003425,0.686509,0.547945,0.0,0.010274,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,39,2022,292,4,0.013699,0.81719,0.547945,0.0,0.027397,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,4,2022,292,7,0.023973,0.320185,0.547945,0.006849,0.041096,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,40,2022,292,2,0.006849,1.0,0.547945,0.0,0.017123,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,41,2022,292,2,0.006849,1.0,0.547945,0.0,0.017123,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,5,2022,292,7,0.023973,0.512971,0.547945,0.006849,0.044521,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,6,2022,292,7,0.023973,0.822617,0.547945,0.006849,0.041096,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,7,2022,292,2,0.006849,0.62675,0.547945,0.0,0.017123,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,8,2022,292,6,0.020548,0.3637,0.547945,0.006849,0.037671,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,9,2022,292,5,0.017123,0.526202,0.547945,0.003425,0.034247,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,0,2023,341,9,0.026393,0.519671,0.501466,0.008798,0.043988,bootstrap_cluster_share,True
BERTopic-METADATA-MULTILINGUAL,metadata,1,2023,341,10,0.029326,0.593529,0.501466,0.014663,0.049853,bootstrap_cluster_share,True
