model,corpus,language,topic_id,year,documents_in_year,dominant_topic_documents,effective_topic_mass,mean_prevalence,median_prevalence,expected_prevalence,topic_presence_above_threshold,lower_95,upper_95,uncertainty_method,year_complete,metadata_coverage,fulltext_coverage
STM-METADATA-ES,metadata,es,3,2024,251,8,6.745000980602306,0.02687251386694146,4.922613331716867e-4,0.02769014781198519,12,0.015315073986257928,0.03969108326378687,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-ES,metadata,es,3,2025,292,2,2.694537720181247,0.009227868904730298,3.3193988800187565e-4,0.017142719593433317,4,0.004209140006395767,0.03107182638331747,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-ES,metadata,es,3,2026,137,3,2.713938909046833,0.01980977305873601,6.130889044202446e-4,0.023629433829486277,6,-3.718449386841018e-4,0.04810482259843101,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-ES,metadata,es,4,2020,90,1,3.251498314575783,0.036127759050842034,0.00578326731527026,0.045548993556801545,12,0.009951559656184505,0.08112545512621427,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-ES,metadata,es,4,2021,110,2,3.1998553640009595,0.029089594218190542,0.00666123001229979,0.03577238546836209,9,0.015601298093442524,0.05651563803657551,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-ES,metadata,es,4,2022,131,6,7.821281747888242,0.059704440823574366,0.007448788769737494,0.03952015707875527,24,0.017834853501650292,0.0608449389582887,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-ES,metadata,es,4,2023,184,6,10.79728933856195,0.05868092031827146,0.011200923690970312,0.07036620485007014,31,0.049693042491279996,0.09078997605453294,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-ES,metadata,es,4,2024,251,34,31.723369267732522,0.1263879253694523,0.0272685496808414,0.1270357530099198,76,0.10862974674520526,0.14427861680633372,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-ES,metadata,es,4,2025,292,54,49.7193173180266,0.17027163465077602,0.04890577358736173,0.14932092364711325,112,0.13013770703701827,0.1681236267890294,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-ES,metadata,es,4,2026,137,15,12.652868004561522,0.0923567007632228,0.016150249756501714,0.09310242056814916,30,0.058472958359278376,0.1269804273619516,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-ES,metadata,es,5,2020,90,7,5.479864136926317,0.060887379299181296,0.006308140648896399,0.06754044265641274,12,0.033933857421607906,0.10213704258013784,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-ES,metadata,es,5,2021,110,8,9.30126969137717,0.08455699719433792,0.009448679152325985,0.07181199911136744,21,0.0507846183459818,0.0914344808048681,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-ES,metadata,es,5,2022,131,7,7.16910195972977,0.054725969158242516,0.007186723698144928,0.07161871750749298,16,0.0523600170345357,0.09130799384037246,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-ES,metadata,es,5,2023,184,10,12.967263729905264,0.07047425940165904,0.0055439915039180426,0.062479404302802785,31,0.04473500506755004,0.08125574047634182,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-ES,metadata,es,5,2024,251,8,7.703310456788763,0.030690479907524954,0.003422660564680801,0.04421208909549653,14,0.03023061028159112,0.05835260846886768,estimateEffect_global_simulation,TRUE,1,0.319261
