model,topic_id,year,document_count,documents_in_year,mean_probability_or_prevalence,ci95_low,ci95_high,coverage_in_year,outlier_percentage,year_complete
stm,6,2024,161,161,0.04652578469371729,0.023667447157325456,0.06938412223010913,1,0,TRUE
stm,6,2025,144,144,0.03073688930418372,0.014229118682197693,0.047244659926169746,1,0,TRUE
stm,6,2026,29,29,0.0017403178291198864,4.7215706091702074e-4,0.0030084785973227522,1,0,FALSE
stm,7,2020,97,97,0.02081581186184187,0,0.04919239076762261,1,0,TRUE
stm,7,2021,110,110,0.007700775438978767,0,0.022207437776349565,1,0,TRUE
stm,7,2022,148,148,6.132203268979091e-4,0,0.0017134505751017653,1,0,TRUE
stm,7,2023,174,174,0.0030421154609513892,0,0.008261226388692259,1,0,TRUE
stm,7,2024,161,161,0.0027455180882972434,0,0.007835924267715092,1,0,TRUE
stm,7,2025,144,144,0.004039988385879093,0,0.010460740624115672,1,0,TRUE
stm,7,2026,29,29,2.655122899789249e-7,0,6.305903174188509e-7,1,0,FALSE
stm,8,2020,97,97,0.040049372772222924,0.019848744902790778,0.060250000641655074,1,0,TRUE
stm,8,2021,110,110,0.021507597951333016,0.010209191306024138,0.032806004596641895,1,0,TRUE
stm,8,2022,148,148,0.03193093189592483,0.01678683047008305,0.04707503332176661,1,0,TRUE
stm,8,2023,174,174,0.04239613579192518,0.023629058748394674,0.061163212835455685,1,0,TRUE
stm,8,2024,161,161,0.07187517238699749,0.04623276340174899,0.09751758137224599,1,0,TRUE
stm,8,2025,144,144,0.12164012782715396,0.081850542086687475,0.16142971356762043,1,0,TRUE
stm,8,2026,29,29,0.0066260336689157335,6.24308590376166e-4,0.012627758747455302,1,0,FALSE
stm,9,2020,97,97,0.10607782064720073,0.0454818296394389,0.16667381165496256,1,0,TRUE
stm,9,2021,110,110,0.06605163231205491,0.02052435710122885,0.11157890752288097,1,0,TRUE
stm,9,2022,148,148,0.01021959574248271,0,0.02264460269050267,1,0,TRUE
stm,9,2023,174,174,0.020543273941114187,0.0023373135582104854,0.03874923432401789,1,0,TRUE
stm,9,2024,161,161,0.009258379306743893,0,0.02148338634110784,1,0,TRUE
stm,9,2025,144,144,0.01749132343959205,0,0.03597232535219507,1,0,TRUE
stm,9,2026,29,29,0.0053524995341094105,0.0016283871056564938,0.009076611962562327,1,0,FALSE
stm,10,2020,97,97,0.09742570552100735,0.04994290600988342,0.14490850503213126,1,0,TRUE
stm,10,2021,110,110,0.10702669615402265,0.059162788162889536,0.15489060414515576,1,0,TRUE
stm,10,2022,148,148,0.05746260882589676,0.027797434621670565,0.08712778303012295,1,0,TRUE
stm,10,2023,174,174,0.06876129535493374,0.041390141671128186,0.09613244903873928,1,0,TRUE
stm,10,2024,161,161,0.05253546634035461,0.024215160180233702,0.08085577250047551,1,0,TRUE
stm,10,2025,144,144,0.02399867270909025,0.008830473689041688,0.03916687172913881,1,0,TRUE
stm,10,2026,29,29,0.0010362661849170093,0,0.0030662502846669575,1,0,FALSE
stm,11,2020,97,97,0.012164692807218692,0.0010840701734541446,0.02324531544098324,1,0,TRUE
