model,corpus,language,topic_id,year,documents_in_year,dominant_topic_documents,effective_topic_mass,mean_prevalence,median_prevalence,expected_prevalence,topic_presence_above_threshold,lower_95,upper_95,uncertainty_method,year_complete,metadata_coverage,fulltext_coverage
STM-METADATA-EN,metadata,en,3,2020,216,31,25.107286174518308,0.11623743599314032,0.006219698362708975,0.10488379067097116,50,0.07245585215348373,0.13697122651045493,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-EN,metadata,en,3,2021,192,28,24.863862902862536,0.12949928595240906,0.006888630926326295,0.1127838548501851,52,0.08194731256310296,0.14220775703904823,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-EN,metadata,en,3,2022,155,20,17.195845417857996,0.110940938179729,0.007510404823403999,0.10893023804700676,40,0.08401948267987128,0.135541673087008,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-EN,metadata,en,3,2023,149,21,16.389220462018965,0.10999476820146957,0.008311861028150002,0.10062976139621925,35,0.07079917801491853,0.12962617488153547,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-EN,metadata,en,3,2024,124,16,13.939865699825905,0.11241827177278955,0.010727614362237216,0.09753712595259956,30,0.06940674846936976,0.12503760641710884,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-EN,metadata,en,3,2025,96,11,9.014171939405196,0.09389762436880414,0.009648678293243458,0.09955366362465402,21,0.05719937242484372,0.1421392167678847,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-EN,metadata,en,3,2026,7,1,1.038620607587257,0.1483743725124653,0.03272005337489191,0.10412011749648102,3,0.019100521401866105,0.19402495141287024,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-EN,metadata,en,4,2020,216,13,15.264284611966247,0.07066798431465855,0.011137441659806518,0.0703688138663271,40,0.044910878987714904,0.09480802456706562,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-EN,metadata,en,4,2021,192,10,13.379923514640168,0.06968710163875087,0.01032559693052102,0.07085972211572861,35,0.050159113234591796,0.09265816934033248,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-EN,metadata,en,4,2022,155,8,11.01996402957259,0.07109654212627477,0.010693835934929759,0.07586014865448379,28,0.05724656370524052,0.09643942340419354,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-EN,metadata,en,4,2023,149,12,13.600420391324288,0.0912779892035187,0.01410499861459175,0.0758585215850171,34,0.05417836457693218,0.09724141624549418,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-EN,metadata,en,4,2024,124,6,6.040543431650631,0.04871405993266638,0.007736915530336506,0.06102530062672397,11,0.04116016952438249,0.0815628426474323,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-EN,metadata,en,4,2025,96,3,3.609338575138128,0.0375972768243555,0.004893146849020219,0.03416811333880283,8,0.004159400419531297,0.06414138603567385,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-EN,metadata,en,4,2026,7,0,0.23636324674426606,0.03376617810632372,0.0020964584451957495,0.0013099520259849929,1,-0.05945575129971356,0.060106469303772864,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-EN,metadata,en,5,2020,216,16,14.861563834454445,0.06880353627062243,0.01493443027687744,0.0657139164403566,34,0.04401994203412035,0.08814002585703737,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-EN,metadata,en,5,2021,192,13,14.987144582059486,0.07805804469822648,0.015729798135172838,0.0663527908883583,40,0.047134771890197984,0.0856467020846571,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-EN,metadata,en,5,2022,155,8,9.166801611413431,0.05914065555750601,0.010359698567008198,0.06810987002634074,25,0.0515824821999777,0.08466485308117673,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-EN,metadata,en,5,2023,149,6,10.142589088563575,0.06807106770848037,0.011683657492594498,0.06834388053573454,35,0.04651065103512459,0.08838459366393694,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-EN,metadata,en,5,2024,124,7,9.19208269665037,0.07412969916653524,0.013514146489429753,0.064359269102644,22,0.04519127134903499,0.08356830745545127,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-EN,metadata,en,5,2025,96,5,5.663665996376873,0.058996520795592436,0.012663015101870321,0.05696896905157242,17,0.031224994533545537,0.08332715773456982,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-EN,metadata,en,5,2026,7,0,0.12660496790269504,0.01808642398609929,0.01046550795327407,0.04787894306185928,0,-0.0065929032021968086,0.10367214372902409,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-EN,metadata,en,6,2020,216,9,9.43420919856513,0.043676894437801525,0.004312819319297198,0.046136995911095414,23,0.025830829395020308,0.0677254260296147,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-EN,metadata,en,6,2021,192,3,4.130110985358924,0.021510994715411066,0.0027661549980701693,0.028512454353969083,9,0.010760443007945958,0.046482192579296755,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-EN,metadata,en,6,2022,155,3,5.559804954528103,0.035869709384052276,0.004014440982137093,0.034199055816540286,15,0.01888798027611285,0.05037472591499838,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-EN,metadata,en,6,2023,149,6,6.259667977835863,0.04201119448211989,0.00559054262847239,0.051905570097273784,18,0.03382410098180336,0.07098209310223269,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-EN,metadata,en,6,2024,124,6,7.369887449761074,0.0594345762077506,0.005728537722848134,0.06540613402840578,19,0.04835856000393349,0.0832760578775519,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-EN,metadata,en,6,2025,96,8,7.250231442744627,0.07552324419525654,0.008909759881272992,0.07357499492042649,18,0.04567779414439106,0.10139768365193413,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-EN,metadata,en,6,2026,7,0,0.18484256240196645,0.026406080343138065,0.00918696060856616,0.07908286953584406,1,0.021923957979879866,0.13895847960778684,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-EN,metadata,en,7,2020,216,10,11.81510209216349,0.05469954672297912,0.0038068874639790523,0.057800327421583496,24,0.035443074459565876,0.08165194151293055,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-EN,metadata,en,7,2021,192,14,12.015785836404566,0.06258221789794045,0.0039115600516387745,0.062398428709917186,28,0.03925831851565903,0.08794969763360841,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-EN,metadata,en,7,2022,155,12,9.289104899786505,0.05992970903088068,0.003547423686054343,0.05792831978880101,21,0.039457076998880576,0.077744621423286,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-EN,metadata,en,7,2023,149,9,8.064801636151413,0.05412618547752627,0.0026806311484891053,0.050212479709495356,13,0.02804947383374555,0.07273236564204894,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-EN,metadata,en,7,2024,124,3,3.760689519584496,0.03032814128697174,0.003505346838605434,0.04686874226363861,7,0.025585686641784906,0.06855588210140867,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-EN,metadata,en,7,2025,96,4,5.144118743252528,0.05358457024221384,0.004270514797599688,0.04774455029602519,11,0.016302936401845762,0.07796742714697258,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-EN,metadata,en,7,2026,7,0,0.05190421596305259,0.007414887994721799,0.00319093849875765,0.050726273435527734,0,-0.014634774157401897,0.1141939581522651,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-EN,metadata,en,8,2020,216,8,6.718246929241482,0.031102995042784635,0.0023234853956676104,0.03752954119600122,13,0.015929200615803597,0.05971531842254152,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-EN,metadata,en,8,2021,192,23,16.6257481534798,0.08659243829937396,0.0049300949097120985,0.08177589267214125,38,0.05890260611129079,0.10692723351950852,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-EN,metadata,en,8,2022,155,10,10.311333554437727,0.06652473260927566,0.003899964541856898,0.07584550111154337,19,0.0559049587007838,0.09801899250305184,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-EN,metadata,en,8,2023,149,6,6.597324944063786,0.04427734861787776,0.0023354992985051763,0.04449520760041245,11,0.023314747564919316,0.06587107243698681,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-EN,metadata,en,8,2024,124,3,2.0115142124472443,0.01622188881005842,0.001591330745947748,0.023064213081341642,5,0.00255750579455692,0.04498471759878571,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-EN,metadata,en,8,2025,96,1,0.9759436115686602,0.010166079287173543,8.531920818264562e-4,0.013788756165314423,2,-0.013713868481302783,0.041759646121760086,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-EN,metadata,en,8,2026,7,0,0.0033488914460061813,4.784130637151688e-4,2.722972757148375e-4,0.01057997368318984,0,-0.04479884010164731,0.06654035464754468,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-EN,metadata,en,9,2020,216,10,11.210394656173357,0.05189997526006184,0.004142376854149399,0.05683306856276286,21,0.03171528307120195,0.08413053176418667,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-EN,metadata,en,9,2021,192,13,11.091257698203504,0.05776696717814325,0.004420823432995397,0.05489730672720319,24,0.03170022220080908,0.07825579313641182,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-EN,metadata,en,9,2022,155,10,11.021161770872489,0.07110426948949992,0.004648054439093519,0.07170530939616516,20,0.050589700716674915,0.09316122052101031,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-EN,metadata,en,9,2023,149,15,12.30047079216194,0.08255349524940898,0.006082883679250332,0.09036267294771202,27,0.0651986470352941,0.11663992257050165,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-EN,metadata,en,9,2024,124,17,14.3535829091726,0.11575470088042418,0.007402824409408726,0.09068625635582792,27,0.06560055667328227,0.11779115566669329,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-EN,metadata,en,9,2025,96,7,6.453956922046953,0.0672287179379891,0.005275897319293874,0.07499784844818512,16,0.03916429915141047,0.11363178053437058,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-EN,metadata,en,9,2026,7,0,0.22850447900680776,0.032643497000972535,0.006962483276731246,0.05131809561675763,1,-0.019724313349948345,0.12738325054526017,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-EN,metadata,en,10,2020,216,8,10.730029851262065,0.04967606412621327,0.011235482086149827,0.050853216314491634,28,0.029733531650309626,0.07489854011112909,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-EN,metadata,en,10,2021,192,11,10.670982629973134,0.05557803453111007,0.007821995878505811,0.03874655677889016,24,0.02051624059134737,0.05750721882324761,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-EN,metadata,en,10,2022,155,5,5.497107854351897,0.03546521196356063,0.007126542934452613,0.04390318770923589,12,0.02678221249656411,0.062383710782790536,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-EN,metadata,en,10,2023,149,8,9.845856438412838,0.06607957341216669,0.013350556360408317,0.07002778016057884,28,0.048599051306318954,0.09602502077005434,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-EN,metadata,en,10,2024,124,22,17.75573350930948,0.14319139926862481,0.040142662049545225,0.11612221812323736,46,0.09380868209010193,0.1409673371776582,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-EN,metadata,en,10,2025,96,23,19.87316574774151,0.20701214320564074,0.1564134983778219,0.17637061688954433,58,0.13694501148315869,0.21328569166115063,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-EN,metadata,en,10,2026,7,1,1.2340095507470081,0.176287078678144,0.1258354256821162,0.2436830192593083,4,0.16635143518281478,0.32062356874468245,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-EN,metadata,en,11,2020,216,15,14.759103385595646,0.06832918234072058,0.004589659990120656,0.074409507303171335,31,0.049771057373313984,0.10067650350644874,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-EN,metadata,en,11,2021,192,6,8.552215586629373,0.044542789513694656,0.003840563001762842,0.05511766221725736,24,0.032972304306077165,0.07768719029861658,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-EN,metadata,en,11,2022,155,8,8.766643015609949,0.05655898719748355,0.0028261235741529086,0.0490943322839432,18,0.03028463458223805,0.06868843772601435,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-EN,metadata,en,11,2023,149,4,5.151950357895647,0.0345768480395681,0.0033183082246898985,0.05140620272404279,11,0.02782138773445107,0.07515955826504983,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-EN,metadata,en,11,2024,124,9,7.8324193960818,0.06316467254904677,0.004066866748049951,0.054181437229639196,19,0.030137350925347098,0.077255119798485955,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-EN,metadata,en,11,2025,96,4,4.902987419822698,0.05107278562315311,0.005964824747650527,0.0561625818321272,12,0.024286464593383583,0.08835126443139767,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-EN,metadata,en,11,2026,7,0,0.13727914585424983,0.019611306550607117,0.004442711659425097,0.05774739853192675,1,-0.008236900276941614,0.12257979420089388,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-EN,metadata,en,12,2020,216,17,16.416079426463874,0.07600036771511053,0.003935273487136611,0.07971174889243146,28,0.050897777148148415,0.10827519547397105,estimateEffect_global_simulation,TRUE,1,0.246006
STM-METADATA-EN,metadata,en,12,2021,192,17,17.56699114112336,0.09149474552668417,0.00558540359287741,0.089894786443149,27,0.062184851963093604,0.11795871060229393,estimateEffect_global_simulation,TRUE,1,0.264798
STM-METADATA-EN,metadata,en,12,2022,155,16,13.361516902828829,0.08620333485696019,0.004673533647822352,0.09001220280026483,23,0.06520350155308423,0.11425610300346394,estimateEffect_global_simulation,TRUE,1,0.373288
STM-METADATA-EN,metadata,en,12,2023,149,14,12.798398904164928,0.08589529465882502,0.0051466679376415405,0.08168216929200939,21,0.053861341733026896,0.10898695615324189,estimateEffect_global_simulation,TRUE,1,0.41349
STM-METADATA-EN,metadata,en,12,2024,124,4,6.437373865672808,0.0519143053683291,0.003918050809064421,0.06893661616053078,15,0.04365607695036154,0.09455143191666376,estimateEffect_global_simulation,TRUE,1,0.319261
STM-METADATA-EN,metadata,en,12,2025,96,2,4.5984839602674805,0.047900874586119586,0.002558706751544897,0.053606567821712234,15,0.013839892976187113,0.09400258272354409,estimateEffect_global_simulation,TRUE,1,0.285347
STM-METADATA-EN,metadata,en,12,2026,7,0,0.035520563443109,0.005074366206158428,0.0034807308466775653,0.03698664676650988,0,-0.04396544301795306,0.12373575763534457,estimateEffect_global_simulation,FALSE,1,0.190476
STM-METADATA-EN,metadata,en,13,2020,216,17,17.46385639438882,0.08085118701105935,0.008696236037040297,0.0801078456622505,34,0.056332313005289236,0.10502691227532655,estimateEffect_global_simulation,TRUE,1,0.246006
